4.2.1,Tyre pressures recommended by the manufacturer: ,FALSE
6.14,Nominal size of Wheel cylinder (Dia.), mm,
6.14.1,Front,
6.14.2,Rear,
6.14.3,Make of wheel cylinders,
6.15,Parking Brake,
6.15.1,Braking Wheel,
6.15.2,Type,
6.15.3,Control (operated by hand/foot),
6.15.4,Locking device,
6.16,In case of vehicles fitted with electrical regenerative braking system,
6.16.1,Type (Type A / Type B),
6.16.2,If Type A  is there a separate control for activating regenerative braking,
7,Lighting and light-signaling devices,TRUE
7.1,List of all devices (Enclose annexure if required),
7.1.1,Head lamp,
7.1.1.1,Main beam,
7.1.1.1.1,Make ,
7.1.1.1.2,Type of lens (Glass / Plastic),
7.1.1.1.3,Identification: TAC No. / BIS License No. / E- Marking,
7.1.1.1.4,Number and Colour of light,
7.1.1.2,Dipped beam,
7.1.1.2.1 ,Make ,
7.1.1.2.2 ,Type of lens (Glass / Plastic),
7.1.1.2.3,Identification: TAC No. / BIS License No. / E- Marking,
7.1.1.2.4,Number and Colour of light,
7.1.2,Position lamp / Parking Lamp – Front,
7.1.2.1,Front Position Lamp,
7.1.2.1.1,Make,
7.1.2.1.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.2.1.3,Number and Colour of light ,
7.1.2.2,Front Parking Lamp,
7.1.2.2.1,Make,
7.1.2.2.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.2.2.3,Number and Colour of light  ,
7.1.3,Stop lamp (S1 / S2),
7.1.3.1,Make,
7.1.3.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.3.3,Number and Colour of light ,
7.1.4,Registration Plate lamp,
7.1.4.1,Make,
7.1.4.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.4.3,Number and Colour of light ,
7.1.5,Direction indicator Lamp,
7.1.5.1,Front,
7.1.5.1.1,Make,
7.1.5.1.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.5.1.3,Number and Colour of light ,
7.1.5.2,Rear,
7.1.5.2.1,Make,
7.1.5.2.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.5.2.3,Number and Colour of light ,
7.1.5.3,Side,
7.1.5.3.1,Make,
7.1.5.3.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.5.3.3,Number and Colour of light ,
7.1.5.3.4,Flasher for Direction Indicators,
7.1.5.3.5,Flashing Frequency of direction indicator ( No of flashes / minute ),
7.1.6,Reversing lamp,
7.1.6.1,Make,
7.1.6.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.6.3,Number and Colour of light ,
7.1.7,Reflector,
7.1.7.1,Front,
7.1.7.1.1,Make  ,
7.1.7.1.2,Type,
7.1.7.1.3,Identification: TAC No. / BIS License No. / E- Marking,
7.1.7.1.4,Number and Colour of light  ,
7.1.7.1.5,Reflective surface Area,
7.1.7.1.6,Shape (Square / rectangular / circular / elliptical /other),
7.1.7.2,Rear,
7.1.7.2.1,Make ,
7.1.7.2.2,Type,
7.1.7.2.3,Identification: TAC No. / BIS License No. / E- Marking,
7.1.7.2.4,Number and Colour of light  ,
7.1.7.2.5,Reflective surface Area,
7.1.7.2.6,Shape (Square / rectangular / circular / elliptical /other),
7.1.7.3,Side (If fitted),
7.1.7.3.1,Make  ,
7.1.7.3.2,Type,
7.1.7.3.3,Identification: TAC No. / BIS License No. / E- Marking,
7.1.7.3.4,Number and Colour of light  ,
7.1.7.3.5,Reflective surface Area,
7.1.7.3.6,Shape (Square / rectangular / circular / elliptical /other),
7.1.8,Hazard warning signal,
7.1.8.1,Front,
7.1.8.1.1,Make,
7.1.8.1.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.8.1.3,Number and Colour of light  ,
7.1.8.2,Rear,
7.1.8.2.1,Make,
7.1.8.2.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.8.2.3, Number and Colour of light  ,
7.1.8.3,Side,
7.1.8.3.1,Make,
7.1.8.3.2,Identification: TAC No. / BIS License No. / E- Marking,
7.1.8.3.3,Number and Colour of light  ,
7.1.9,Maximum intensity of Head lamp,
7.2,Diagram showing the location of the lighting and light-signaling devices on vehicle with relevant dimensions (see AIS-009),
7.3,Additional requirements relating to special vehicles,
7.4,Brief description of the ECUs used in the lighting system and in the light-signaling system,
7.5,List of all bulbs (Enclose annexure, if required.),
7.5,List of all bulbs (Enclose annexure, if required.),
7.5.1,Head lamp bulb (main beam),
7.5.1.1,Make,
7.5.1.2,Category as per AIS-034,
7.5.1.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.2,Head lamp bulb (Dipped beam),
7.5.2.1,Make ,
7.5.2.2,Category as per AIS-034,
7.5.2.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.3,Front Position Lamp bulb,
7.5.3.1,Make ,
7.5.3.2,Category as per AIS-034,
7.5.3.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.4 ,Stop lamp bulb,
7.5.4.1,Make ,
7.5.4.2, Category as per AIS-034,
7.5.4.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.5 ,Number plate lamp bulb,
7.5.5.1 ,Make ,
7.5.5.2 ,Category as per AIS-034,
7.5.5.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.6,Direction indicator lamp bulb - front,
7.5.6.1,Make ,
7.5.6.2,Category as per AIS-034,
7.5.6.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.7,Direction indicator lamp bulb - rear,
7.5.7.1,Make ,
7.5.7.2,Category as per AIS-034,
7.5.7.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.7.4,Flasher for Direction Indicators,
7.5.7.5,Flashing Frequency of direction indicator ( No of flashes / minute ),
7.5.8,Parking Lamp bulb – Front,
7.5.8.1,Make ,
7.5.8.2,Category as per AIS-034,
7.5.8.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.9,Parking Lamp bulb – Rear,
7.5.9.1,Make ,
7.5.9.2,Category as per AIS-034,
7.5.9.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.10,Reversing lamp bulb,
7.5.10.1,Make ,
7.5.10.2,Category as per AIS-034,
7.5.10.3,Identification: TAC No. / BIS License No. / E- Marking,
7.5.11,Hazard warning lamp,
7.5.11.1,Make ,
7.5.11.2,Category as per AIS-034,
7.5.11.3,Identification: TAC No. / BIS License No. / E- Marking,
8,Equipment,TRUE
8.1,Coupling devices (where applicable),
8.1.1,Type: hook/ring/other(1),
8.1.2,Photograph and/or drawings showing the position and the construction of the coupling devices,
8.2,Control Locations and Identification (Please specify location, operation and symbol  if provided, as applicable),
8.2.1,Supplemental engine stop,
8.2.2,Ignition Switch,
8.2.3,Electric Starter,
8.2.4,Manual Choke,
8.2.5,Fuel Tank Shutoff Valve,
8.2.6,Audible warning device,
8.2.7,Head lamp Driving / Passing beam,
8.2.8,Optical warning device,
8.2.9,Fog Lamps - Front,
8.2.10,Fog Lamps - Rear,
8.2.11,Direction indicators,
8.2.12,Hazard warning signal,
8.2.13,Position Lamp,
8.2.14,Master lamp,
8.2.15,Parking Lamp,
8.2.16,Engine speed control,
8.2.17,Front wheel brake,
8.2.18,Foot rear wheel brakes control,
8.2.19,Hand rear wheel brake control,
8.2.20,Parking brake,
8.2.21,Clutch,
8.2.22,Foot selector Manual gear shift Control,
8.2.23,Hand Selector Manual gear shift Control,
8.2.24,Any other control ,
8.2.25,Tell-tales,
8.2.25.1,Manual Choke,
8.2.25.2,Neutral – (Gearbox Selection),
8.2.25.3,Head lamp Driving beam,
8.2.25.4,Head lamp Passing beam ,
8.2.25.5,Fog Lamps - Front,
8.2.25.6,Fog Lamps - Rear,
8.2.25.7,Direction indicators ,
8.2.25.8,Hazard warning signal,
8.2.25.9,Position Lamp,
8.2.25.10,Master lamp,
8.2.25.11,Parking Lamp,
8.2.25.12,Fuel indicator,
8.2.25.13,Engine coolant temperature,
8.2.25.14,Electrical Charging,
8.2.25.15,Engine Oil,
8.2.25.16,Anti-lock Brake System Malfunction,
8.2.25.17,Malfunction Indicator Lamp,
8.2.25.18,Any other tell-tale ,
8.2.26,Indicators,
8.2.26.1,Speedometer,
8.2.26.2,Fuel Indicator,
8.2.26.3,Engine coolant temperature,
8.2.26.4,Electrical Charging,
8.2.26.5,Engine Oil,
8.2.26.6,Any other Indicator,
8.3,Statutory inscriptions,
8.3.1,Photographs and/or drawings showing the location of VIN.,
8.3.2,Height of VIN characters. ,
8.4,Device(s) to protect against unauthorized use,
8.4.1,Type of device(s) as per AIS-074,
8.4.1.1,Make(s),
8.5,Audible warning device(s),
8.5.1,Make(s),
8.5.2,Type(s),
8.5.2.1,Operating voltage,
8.5.2.2,Nos of audible warning devices installed,
8.5.3,TAC No. / BIS license number/ E marking,
8.5.4,Drawing(s) showing the location of the audible warning device(s) in relation to the structure of the vehicle,
8.5.5,Dimensional & material Details of the part in front of the Horn(s)  which may obstruct audibility,
9,Rear-view mirrors (please provide the following information for each rear-view mirror),TRUE
9.1,Make (s) ,
9.1.1,Type Approval Number / E- marking / BIS License No.,
9.2,Class of the Mirror as per AIS-002,
9.3,Drawing(s) showing the location & Installation Dimension Details of the rear-view mirror(s) in relation to the structure of the vehicle,
9.4,Precise information concerning the type of attachment, including that part of the vehicle structure to which the rear-view mirror is attached,
10,Provision for Devices for pillion rider and/or  passenger(s),TRUE
10.1,Nos of Handholds for pillion Rider in case of 2 Wheeler,
10.1.1,Type: strap and/or handle(1),
10.1.2,Drawings showing dimensional and material details of strap / handhold(s) and its fixing / bolting details,
10.1.3,Nos. of Handholds for passenger(s) in case of 3 Wheeler,
10.2,Foot rest for rider and pillion ,
10.3,Protective device covering half of the rear wheel.(as applicable) along with Schematic drawing.,
11,Spray suppression device (as applicable),TRUE
11.1,Diagram showing general arrangement of spray suppression system Angle θ and relevant dimensions as specified in            AIS-103 :2009,
11.2,Tyre Overall Width (Maximum of variants and tyre makes),
12,List of Electrical/Electronic Systems which are not previously listed,TRUE
12.1,List of all subassemblies, which includes an electronic oscillator or switching frequency greater than 9kHz (like ECU, instrument Cluster, Body Control Module etc.),
12.1.1,Device  Name,
12.1.2,Make,
12.1.3,Identification number(ID) / Part No./Drawing No.,
12.2,List of all Electrical components, which include Broadband EMI sources (like HAVC Motor, Wiper Motor and Horn etc.),
12.2.1,Device Name,
12.2.2,Make,
12.2.3,Identification number(ID) / Part No./Drawing No.,
13,Type of stand (Centre/Prop/both),
13.1,Number of Stands,
13.2,Retention Mechanism (one spring/two spring/ one spring with separate retention system) ,
13.3,In the case of spring used in 5.2.5.2.2 of AIS-146,
13.3.1,Wire Diameter (mm),
13.3.2,Free length of the spring (mm),
13.3.3,Outer Coil diameter (mm),
13.3.4,Assembled length in “in-use position” (mm),
13.3.5,Assembled length in “not-in-use position” (mm),
13.3.6,Spring Material,
13.4,Drawing related to the stand installation showing minimum details given below,  ,
,- Distance of median lateral plane from Front axle,
,- Location of installation of Prop stand (side stand) and Center stand from front axle,
,Angle between vehicle longitudinal median plane and prop stand in-use position ,
15.2,Details of compliance as per AIS-120 mentioned  in Clause 5.1.1 of AIS-147.,
15.3,Details of Guard as specified in clause 3.8 of AIS-147,
15.3.1,Material used,
15.3.2,Width of the Guard (from body,
,frame to extreme end laterally),
16,Information of Foot rests as per AIS-148 (Only for L1 & L2),
,Type of  Footrest (Footrest / Floor / Floorboards),
17,Photographs or drawings showing the location and the construction of Foot rests,
18,Firefighting System (if fitted),TRUE
18.1,Make,
18.2,Weight,
18.3,Schematic representation indicating the arrangement and position,
18.4,Details of the alterations done on original vehicle (separate Annexure can be enclosed),
18.5,Photograph of vehicle with firefighting system,
19,Any other feature manufacturer desires to declare,

