12.5.2.1 ,Front 
12.5.2.2 ,Rear
12.5.2.3 ,Others 
12.5.2.4,Make of wheel cylinder / slave cylinder 
12.6.,Failure Warning device for braking  
12.6..1 ,Type (Visual display/ audible/others) 
12.6..2 ,Operation pressure (kg/cm2) or (bar) or kPa) 
12.6..3 ,Type of safety device 
12.7.0 ,Parking brake 
12.7.1,Make 
12.7.2 ,Type (mechanical/spring brake) 
12.7.3,Acting on Transmission/wheel 
12.7.4,Control System & Braking wheel 
12.7.5,Lining/pad 
12.7.6 ,Name of producer 
12.7.7 ,Dimension (mm)
12.7.8 ,Area (cm2) 
12.7.9 ,Material 
12.7.10 ,Diameter of brake drum/disc  (mm) 
12.8. ,Secondary  brake  
12.8..1 ,Type 
12.8..2,Description 
13,On Board Diagnosis (OBD I ) 
13.1,Written description and/or drawing of the Malfunction Indicator(MI).
13.2,Criteria for MI activation (fixed number of driving cycles or statistical method)
13.3,List of all OBD output codes and formats used (with explanation of each).
13.4,A description of the type and number of the pre-conditioning cycles used for the original type approval of the vehicle.
14,Head-On Collision as per AIS-096 
14.1,Brief description of the vehicle type as regards its structure dimensions lines and constituent materials:
14.2,Description of the protective system installed in the vehicle:
14.3,Description of interior arrangements or fittings that might affect the tests:
14.4,Photographs and/or diagrams and drawings permitting the basic identification of the type(s) of vehicle and its possible variants which are covered by the approval
15,Temporary Spare Wheel / RFT- as per AIS-110   (If Provided)
15.1,Make
15.2,Size
15.3,Load and speed rating
15.4,Recommended max speed
16,Q-Label
16.1,Sketch showing the location of “Q” label at the front and rear of the vehicle
16.2,Area of the label
17,Vehicle Location Tracking System (VTS) Details  (if OE fitted)
17.1,Make:
17.2,Model Number
17.3,Part Number
17.4,Hardware Version
17.5,Software Version
17.6,Antenna External and or Internal for GPS/GSM/WLAN etc. details.
18,Emergency Button
18.1,No. of Emergency Buttons
18.2,Make
18.3,Part Number
19,Installation layout Drawing of VLT and Buttons (Attach drawing showing location of VLT and Emergency Buttons in vehicle)
20,Installation Instructions (if any for dealer or System integrator)
